itemName,calories,caloriesFat,totalFat,saturatedFat,transFat,cholesterol,sodium,totalCarbs,dietaryFiber,sugars,protein,menuType
Tropicana® Pink Lemonade (20 fl oz),260,0,0,0,0,0,260,67,0,67,0,20 oz fountain drinks
Aquafina® Sparkling Berry Breeze (30 fl oz),0,0,0,0,0,0,160,0,0,0,0,30 oz fountain drinks
Brisk® Mango Iced Tea (30 fl oz),180,0,0,0,0,0,90,48,0,48,0,30 oz fountain drinks
Brisk® Unsweetened No Lemon Iced Tea (30 fl oz),0,0,0,0,0,0,115,0,0,0,0,30 oz fountain drinks
Diet Dr Pepper® (30 fl oz),0,0,0,0,0,0,180,1,0,0,0,30 oz fountain drinks
Diet Mtn Dew® (30 fl oz),10,0,0,0,0,0,140,1,0,1,0,30 oz fountain drinks
Diet Pepsi® (30 fl oz),0,0,0,0,0,0,140,0,0,0,0,30 oz fountain drinks
Dr Pepper® (30 fl oz),360,0,0,0,0,0,110,98,0,96,0,30 oz fountain drinks
G2 - Fruit Punch (30 fl oz),50,0,0,0,0,0,270,13,0,12,0,30 oz fountain drinks
Mist Twst® (30 fl oz),380,0,0,0,0,0,80,101,0,101,0,30 oz fountain drinks
Mtn Dew® (30 fl oz),410,0,0,0,0,0,125,110,0,109,0,30 oz fountain drinks
Mtn Dew® Baja Blast™ (30 fl oz),420,0,0,0,0,0,120,110,0,110,0,30 oz fountain drinks
Mtn Dew® Baja Blast Zero Sugar (30 fl oz),15,0,0,0,0,0,125,0,0,0,0,30 oz fountain drinks
Mtn Dew® Kickstart™ Orange Citrus (30 fl oz),130,0,0,0,0,0,140,34,0,33,0,30 oz fountain drinks
Mug® Root Beer (30 fl oz),360,0,0,0,0,0,110,98,0,98,0,30 oz fountain drinks
Pepsi® (30 fl oz),380,0,0,0,0,0,80,104,0,103,0,30 oz fountain drinks
Pepsi® Wild Cherry (30 fl oz),390,0,0,0,0,0,80,105,0,105,0,30 oz fountain drinks
Pepsi® Zero Sugar (30 fl oz),0,0,0,0,0,0,160,<1,0,0,0,30 oz fountain drinks
Tropicana® Pink Lemonade (30 fl oz),390,0,0,0,0,0,390,100,0,100,0,30 oz fountain drinks
Border Sauce - Diablo,0,0,0,0,0,0,30,0,0,0,0,hot sauce packets
Border Sauce - Fire,0,0,0,0,0,0,65,<1,0,0,0,hot sauce packets
Border Sauce - Hot,0,0,0,0,0,0,50,0,0,0,0,hot sauce packets
Border Sauce - Mild,0,0,0,0,0,0,35,0,0,0,0,hot sauce packets
Breakfast Salsa,0,0,0,0,0,0,50,<1,0,0,0,hot sauce packets
